Log initialized at: 2025-03-14 12:37:03
Temps pour affichage : 0.0130864 secondes
Temps pour affichage : 0.0138171 secondes
Temps pour affichage : 0.0142733 secondes
Temps pour affichage : 0.0137249 secondes
Temps pour affichage : 0.0123224 secondes
Temps pour affichage : 0.0137552 secondes
Temps pour affichage : 0.013761 secondes
Temps pour affichage : 0.0141253 secondes
Temps pour affichage : 0.0133771 secondes
Temps pour affichage : 0.0137438 secondes
Temps pour affichage : 0.0152167 secondes
Temps pour affichage : 0.0141249 secondes
Temps pour affichage : 0.0139341 secondes
Temps pour affichage : 0.0132071 secondes
Temps pour affichage : 0.015288 secondes
Temps pour affichage : 0.013756 secondes
Temps pour affichage : 0.0127545 secondes
Temps pour affichage : 0.0226298 secondes
Temps pour affichage : 0.0146447 secondes
Temps pour affichage : 0.0127674 secondes
Temps pour affichage : 0.012329 secondes
Temps pour affichage : 0.0145435 secondes
Temps pour affichage : 0.0133951 secondes
Temps pour affichage : 0.0135246 secondes
Temps pour affichage : 0.0147543 secondes
Temps pour affichage : 0.014475 secondes
Temps pour affichage : 0.0138593 secondes
Temps pour affichage : 0.0128378 secondes
Temps pour affichage : 0.0156745 secondes
Temps pour affichage : 0.0152671 secondes
Temps pour affichage : 0.0141541 secondes
Temps pour affichage : 0.0127209 secondes
Temps pour affichage : 0.0159369 secondes
Temps pour affichage : 0.0143846 secondes
Temps pour affichage : 0.013256 secondes
Temps pour affichage : 0.0139623 secondes
Temps pour affichage : 0.0133687 secondes
Temps pour affichage : 0.0130367 secondes
Temps pour affichage : 0.0131411 secondes
Temps pour affichage : 0.0125288 secondes
Temps pour affichage : 0.0138284 secondes
Temps pour affichage : 0.0135653 secondes
Temps pour affichage : 0.012896 secondes
Temps pour affichage : 0.0156291 secondes
Temps pour affichage : 0.0154834 secondes
Temps pour affichage : 0.014832 secondes
Temps pour affichage : 0.0147338 secondes
Temps pour affichage : 0.0161506 secondes
Temps pour affichage : 0.0167556 secondes
Temps pour affichage : 0.0170847 secondes
Temps pour affichage : 0.0154642 secondes
Temps pour affichage : 0.0144235 secondes
Temps pour affichage : 0.0158792 secondes
Temps pour affichage : 0.0249186 secondes
