Log initialized at: 2025-03-14 12:35:09
Test for first try of OpenMP optimization
Nombre de coeurs physiques : 32
Temps pour avancement : 0.0266809 secondes
Temps pour affichage : 0.0158264 secondes
Temps pour avancement : 0.0165621 secondes
Temps pour affichage : 0.0164308 secondes
Temps pour avancement : 0.0126833 secondes
Temps pour affichage : 0.0165696 secondes
Temps pour avancement : 0.0159681 secondes
Temps pour affichage : 0.0165147 secondes
Temps pour avancement : 0.0142814 secondes
Temps pour affichage : 0.016513 secondes
Temps pour avancement : 0.0157549 secondes
Temps pour affichage : 0.0161102 secondes
Temps pour avancement : 0.0085333 secondes
Temps pour affichage : 0.0140746 secondes
Temps pour avancement : 0.0242562 secondes
Temps pour affichage : 0.0141309 secondes
Temps pour avancement : 0.0150364 secondes
Temps pour affichage : 0.0164299 secondes
Temps pour avancement : 0.0181389 secondes
Temps pour affichage : 0.0179555 secondes
Temps pour avancement : 0.0140866 secondes
Temps pour affichage : 0.0159962 secondes
Temps pour avancement : 0.0100962 secondes
Temps pour affichage : 0.0160725 secondes
Temps pour avancement : 0.0155412 secondes
Temps pour affichage : 0.0164933 secondes
Temps pour avancement : 0.0180187 secondes
Temps pour affichage : 0.0169697 secondes
Temps pour avancement : 0.0164379 secondes
Temps pour affichage : 0.0160053 secondes
Temps pour avancement : 0.00912058 secondes
Temps pour affichage : 0.0145248 secondes
Temps pour avancement : 0.0225477 secondes
Temps pour affichage : 0.0143004 secondes
Temps pour avancement : 0.0133655 secondes
Temps pour affichage : 0.0175118 secondes
Temps pour avancement : 0.0326694 secondes
Temps pour affichage : 0.0173016 secondes
Temps pour avancement : 0.0150813 secondes
Temps pour affichage : 0.0176892 secondes
Temps pour avancement : 0.0119042 secondes
Temps pour affichage : 0.0167397 secondes
Temps pour avancement : 0.0157065 secondes
Temps pour affichage : 0.0167878 secondes
Temps pour avancement : 0.0302214 secondes
Temps pour affichage : 0.0171165 secondes
Temps pour avancement : 0.00998205 secondes
Temps pour affichage : 0.0171517 secondes
Temps pour avancement : 0.0231086 secondes
Temps pour affichage : 0.0178002 secondes
Temps pour avancement : 0.025541 secondes
Temps pour affichage : 0.0143033 secondes
Temps pour avancement : 0.0165955 secondes
Temps pour affichage : 0.0147547 secondes
Temps pour avancement : 0.0231476 secondes
Temps pour affichage : 0.0163955 secondes
Temps pour avancement : 0.0184386 secondes
Temps pour affichage : 0.0209853 secondes
Temps pour avancement : 0.0221421 secondes
Temps pour affichage : 0.0224916 secondes
Temps pour avancement : 0.0219554 secondes
Temps pour affichage : 0.0213154 secondes
Sauvegarde des cartes du feu et de la végétation à l'étape 200
Temps pour avancement : 0.031364 secondes
Temps pour affichage : 0.0210269 secondes
Temps pour avancement : 0.0188551 secondes
Temps pour affichage : 0.0216086 secondes
Temps pour avancement : 0.0188845 secondes
Temps pour affichage : 0.0224391 secondes
Temps pour avancement : 0.0210001 secondes
Temps pour affichage : 0.0233686 secondes
Temps pour avancement : 0.0173781 secondes
Temps pour affichage : 0.0196772 secondes
Temps pour avancement : 0.0192383 secondes
Temps pour affichage : 0.0176305 secondes
Temps pour avancement : 0.0243673 secondes
Temps pour affichage : 0.0183142 secondes
Temps pour avancement : 0.0279469 secondes
Temps pour affichage : 0.0189934 secondes
Temps pour avancement : 0.0170678 secondes
Temps pour affichage : 0.0181428 secondes
Temps pour avancement : 0.0173957 secondes
Temps pour affichage : 0.0202068 secondes
Temps pour avancement : 0.0168936 secondes
Temps pour affichage : 0.0175497 secondes
Temps pour avancement : 0.0262921 secondes
Temps pour affichage : 0.0185983 secondes
Temps pour avancement : 0.00921649 secondes
Temps pour affichage : 0.0184602 secondes
Temps pour avancement : 0.0268284 secondes
Temps pour affichage : 0.0180925 secondes
Temps pour avancement : 0.0211758 secondes
Temps pour affichage : 0.0152935 secondes
Temps pour avancement : 0.0141534 secondes
Temps pour affichage : 0.0147285 secondes
Temps pour avancement : 0.0232004 secondes
Temps pour affichage : 0.0147457 secondes
Temps pour avancement : 0.0174437 secondes
Temps pour affichage : 0.0162564 secondes
Temps pour avancement : 0.0105308 secondes
Temps pour affichage : 0.0174751 secondes
Temps pour avancement : 0.0170985 secondes
Temps pour affichage : 0.0184527 secondes
Temps pour avancement : 0.0267054 secondes
Temps pour affichage : 0.0170114 secondes
Temps pour avancement : 0.0166152 secondes
Temps pour affichage : 0.0197831 secondes
Temps pour avancement : 0.0311585 secondes
Temps pour affichage : 0.0182735 secondes
Temps pour avancement : 0.0268227 secondes
Temps pour affichage : 0.017203 secondes
Temps pour avancement : 0.0144277 secondes
Temps pour affichage : 0.016777 secondes
Temps pour avancement : 0.012859 secondes
Temps pour affichage : 0.0141656 secondes
Temps pour avancement : 0.0268675 secondes
Temps pour affichage : 0.0156264 secondes
Temps pour avancement : 0.0163188 secondes
Temps pour affichage : 0.0140896 secondes
Temps pour avancement : 0.0160715 secondes
Temps pour affichage : 0.0159106 secondes
Temps pour avancement : 0.0106668 secondes
Temps pour affichage : 0.0164949 secondes
Temps pour avancement : 0.0260014 secondes
Temps pour affichage : 0.0172299 secondes
Temps pour avancement : 0.0148957 secondes
Temps pour affichage : 0.0177307 secondes
Temps pour avancement : 0.0172285 secondes
Temps pour affichage : 0.0170297 secondes
Temps pour avancement : 0.0203144 secondes
Temps pour affichage : 0.0168944 secondes
Temps pour avancement : 0.0304164 secondes
Temps pour affichage : 0.0170773 secondes
Temps pour avancement : 0.0240825 secondes
Temps pour affichage : 0.0168249 secondes
Temps pour avancement : 0.0100639 secondes
Temps pour affichage : 0.0167998 secondes
Temps pour avancement : 0.0171324 secondes
Temps pour affichage : 0.0168258 secondes
Temps pour avancement : 0.0296309 secondes
Temps pour affichage : 0.0153659 secondes
Temps pour avancement : 0.015424 secondes
Temps pour affichage : 0.0163484 secondes
Temps pour avancement : 0.00920248 secondes
Temps pour affichage : 0.0170525 secondes
Temps pour avancement : 0.022153 secondes
Temps pour affichage : 0.0162232 secondes
Temps pour avancement : 0.0101804 secondes
Temps pour affichage : 0.0147471 secondes
Temps pour avancement : 0.0215536 secondes
Temps pour affichage : 0.0142284 secondes
Temps pour avancement : 0.0312263 secondes
Temps pour affichage : 0.0158684 secondes
Temps pour avancement : 0.029207 secondes
Temps pour affichage : 0.0176011 secondes
Temps pour avancement : 0.0288976 secondes
Temps pour affichage : 0.0175526 secondes
Temps pour avancement : 0.0236613 secondes
Temps pour affichage : 0.0167931 secondes
Temps pour avancement : 0.0117523 secondes
Temps pour affichage : 0.0168414 secondes
Temps pour avancement : 0.0319776 secondes
Temps pour affichage : 0.0172191 secondes
Temps pour avancement : 0.0163015 secondes
Temps pour affichage : 0.0174071 secondes
Temps pour avancement : 0.00971381 secondes
Temps pour affichage : 0.0159479 secondes
Temps pour avancement : 0.0164593 secondes
Temps pour affichage : 0.0172552 secondes
Temps pour avancement : 0.0123952 secondes
Temps pour affichage : 0.0144949 secondes
Temps pour avancement : 0.0275954 secondes
Temps pour affichage : 0.014557 secondes
Temps pour avancement : 0.0286842 secondes
Temps pour affichage : 0.0132769 secondes
Temps pour avancement : 0.0160949 secondes
Temps pour affichage : 0.0177083 secondes
Temps pour avancement : 0.0115836 secondes
Temps pour affichage : 0.0169742 secondes
Temps pour avancement : 0.0251159 secondes
Temps pour affichage : 0.0165621 secondes
Temps pour avancement : 0.0111156 secondes
Temps pour affichage : 0.0168086 secondes
Temps pour avancement : 0.02575 secondes
Temps pour affichage : 0.0173423 secondes
Temps pour avancement : 0.0314039 secondes
Temps pour affichage : 0.0180145 secondes
Temps pour avancement : 0.0280304 secondes
Temps pour affichage : 0.0172206 secondes
Temps pour avancement : 0.0117206 secondes
Temps pour affichage : 0.0163036 secondes
Temps pour avancement : 0.0260076 secondes
Temps pour affichage : 0.0169235 secondes
Temps pour avancement : 0.0228176 secondes
Temps pour affichage : 0.0142519 secondes
Temps pour avancement : 0.026476 secondes
Temps pour affichage : 0.0146627 secondes
Temps pour avancement : 0.0193828 secondes
