Log initialized at: 2025-03-09 09:25:08
Test for MPI with 2 threads
Temps pour une étape : 0.00560165 secondes
Temps pour une étape : 0.00522982 secondes
Temps pour une étape : 0.00511811 secondes
Temps pour une étape : 0.0056371 secondes
Temps pour une étape : 0.00549526 secondes
Temps pour une étape : 0.00526049 secondes
Temps pour une étape : 0.00528702 secondes
Temps pour une étape : 0.00546362 secondes
Temps pour une étape : 0.00562133 secondes
Temps pour une étape : 0.00552199 secondes
Temps pour une étape : 0.00529685 secondes
Temps pour une étape : 0.00528641 secondes
Temps pour une étape : 0.00544392 secondes
Temps pour une étape : 0.00553594 secondes
Temps pour une étape : 0.00515188 secondes
Temps pour une étape : 0.00574216 secondes
Temps pour une étape : 0.0051702 secondes
Temps pour une étape : 0.00532427 secondes
Temps pour une étape : 0.00533826 secondes
Temps pour une étape : 0.00550107 secondes
Temps pour une étape : 0.00598452 secondes
Temps pour une étape : 0.00565931 secondes
Temps pour une étape : 0.00543487 secondes
Temps pour une étape : 0.00528246 secondes
Temps pour une étape : 0.00694095 secondes
Temps pour une étape : 0.00533609 secondes
Temps pour une étape : 0.00558581 secondes
Temps pour une étape : 0.00580112 secondes
Temps pour une étape : 0.00574032 secondes
Temps pour une étape : 0.00588245 secondes
Temps pour une étape : 0.00566375 secondes
Temps pour une étape : 0.00555969 secondes
Temps pour une étape : 0.00545466 secondes
Temps pour une étape : 0.00504504 secondes
Temps pour une étape : 0.00557465 secondes
Temps pour une étape : 0.00531831 secondes
Temps pour une étape : 0.00543171 secondes
Temps pour une étape : 0.00532722 secondes
Temps pour une étape : 0.0050546 secondes
Temps pour une étape : 0.00497956 secondes
Temps pour une étape : 0.00569417 secondes
Temps pour une étape : 0.005313 secondes
Temps pour une étape : 0.00602294 secondes
Temps pour une étape : 0.00531485 secondes
Temps pour une étape : 0.00571793 secondes
Temps pour une étape : 0.00543188 secondes
Temps pour une étape : 0.00528643 secondes
Temps pour une étape : 0.00540018 secondes
Temps pour une étape : 0.00566419 secondes
Temps pour une étape : 0.00580894 secondes
Temps pour une étape : 0.00536282 secondes
Temps pour une étape : 0.00490996 secondes
Temps pour une étape : 0.00549746 secondes
Temps pour une étape : 0.00510563 secondes
Temps pour une étape : 0.00519149 secondes
Temps pour une étape : 0.00502493 secondes
Temps pour une étape : 0.00537513 secondes
Temps pour une étape : 0.00671208 secondes
Temps pour une étape : 0.00583028 secondes
Temps pour une étape : 0.00525556 secondes
Temps pour une étape : 0.00512729 secondes
Temps pour une étape : 0.005335 secondes
Temps pour une étape : 0.00540004 secondes
Temps pour une étape : 0.00564741 secondes
Temps pour une étape : 0.00542275 secondes
Temps pour une étape : 0.00525145 secondes
Temps pour une étape : 0.00492114 secondes
Temps pour une étape : 0.00516789 secondes
Temps pour une étape : 0.00581111 secondes
Temps pour une étape : 0.00528878 secondes
Temps pour une étape : 0.00524843 secondes
Temps pour une étape : 0.00499155 secondes
Temps pour une étape : 0.00573839 secondes
Temps pour une étape : 0.00548812 secondes
Temps pour une étape : 0.00555181 secondes
Temps pour une étape : 0.00513297 secondes
Temps pour une étape : 0.00536331 secondes
Temps pour une étape : 0.00503083 secondes
Temps pour une étape : 0.00499956 secondes
Temps pour une étape : 0.00530924 secondes
Temps pour une étape : 0.00578626 secondes
Temps pour une étape : 0.0049833 secondes
Temps pour une étape : 0.0048239 secondes
Temps pour une étape : 0.00496287 secondes
Temps pour une étape : 0.00512891 secondes
Temps pour une étape : 0.00511731 secondes
Temps pour une étape : 0.00525282 secondes
Temps pour une étape : 0.00504541 secondes
Temps pour une étape : 0.00483128 secondes
Temps pour une étape : 0.00522546 secondes
Temps pour une étape : 0.00510733 secondes
Temps pour une étape : 0.00511945 secondes
Temps pour une étape : 0.00517309 secondes
Temps pour une étape : 0.00555887 secondes
Temps pour une étape : 0.00479352 secondes
Temps pour une étape : 0.00533742 secondes
Temps pour une étape : 0.00512417 secondes
Temps pour une étape : 0.00547062 secondes
Temps pour une étape : 0.00491053 secondes
Temps pour une étape : 0.00486541 secondes
Temps pour une étape : 0.00562079 secondes
Temps pour une étape : 0.00470835 secondes
Temps pour une étape : 0.00515965 secondes
Temps pour une étape : 0.00533404 secondes
Temps pour une étape : 0.00542491 secondes
Temps pour une étape : 0.00512261 secondes
Temps pour une étape : 0.00497548 secondes
Temps pour une étape : 0.00445734 secondes
Temps pour une étape : 0.00402352 secondes
Temps pour une étape : 0.00419394 secondes
Temps pour une étape : 0.00485359 secondes
Temps pour une étape : 0.00441516 secondes
Temps pour une étape : 0.00457303 secondes
Temps pour une étape : 0.00451315 secondes
Temps pour une étape : 0.00571209 secondes
Temps pour une étape : 0.00390364 secondes
Temps pour une étape : 0.0199513 secondes
Temps pour une étape : 0.0197075 secondes
Temps pour une étape : 0.0040372 secondes
Temps pour une étape : 0.0118065 secondes
Temps pour une étape : 0.00921938 secondes
Temps pour une étape : 0.0102383 secondes
Temps pour une étape : 0.00442656 secondes
Temps pour une étape : 0.00431851 secondes
Temps pour une étape : 0.00364148 secondes
Temps pour une étape : 0.0138107 secondes
Temps pour une étape : 0.00402049 secondes
Temps pour une étape : 0.00993152 secondes
Temps pour une étape : 0.00427317 secondes
Temps pour une étape : 0.0040353 secondes
Temps pour une étape : 0.0040587 secondes
Temps pour une étape : 0.00347246 secondes
Temps pour une étape : 0.00374128 secondes
Temps pour une étape : 0.00338935 secondes
Temps pour une étape : 0.00369649 secondes
Temps pour une étape : 0.00304578 secondes
Temps pour une étape : 0.00327744 secondes
Temps pour une étape : 0.00294972 secondes
Temps pour une étape : 0.00348561 secondes
Temps pour une étape : 0.00326187 secondes
Temps pour une étape : 0.00277412 secondes
Temps pour une étape : 0.00289975 secondes
Temps pour une étape : 0.00315987 secondes
Temps pour une étape : 0.00275175 secondes
Temps pour une étape : 0.00266615 secondes
Temps pour une étape : 0.00258767 secondes
Temps pour une étape : 0.00276867 secondes
Temps pour une étape : 0.00329408 secondes
Temps pour une étape : 0.00354222 secondes
Temps pour une étape : 0.00230995 secondes
Temps pour une étape : 0.00308801 secondes
Temps pour une étape : 0.00281739 secondes
Temps pour une étape : 0.00222223 secondes
Temps pour une étape : 0.00224673 secondes
Temps pour une étape : 0.00252485 secondes
Temps pour une étape : 0.00211393 secondes
Temps pour une étape : 0.00269287 secondes
Temps pour une étape : 0.00208067 secondes
Temps pour une étape : 0.00199999 secondes
Temps pour une étape : 0.00233459 secondes
Temps pour une étape : 0.00199905 secondes
Temps pour une étape : 0.00183626 secondes
Temps pour une étape : 0.00275228 secondes
Temps pour une étape : 0.0017461 secondes
Temps pour une étape : 0.00254807 secondes
Temps pour une étape : 0.00197912 secondes
Temps pour une étape : 0.00172995 secondes
Temps pour une étape : 0.0021193 secondes
Temps pour une étape : 0.00237351 secondes
Temps pour une étape : 0.00154897 secondes
Temps pour une étape : 0.00163998 secondes
Temps pour une étape : 0.0013163 secondes
Temps pour une étape : 0.00135764 secondes
Temps pour une étape : 0.00144167 secondes
Temps pour une étape : 0.00136082 secondes
Temps pour une étape : 0.00147453 secondes
Temps pour une étape : 0.00123496 secondes
Temps pour une étape : 0.00144531 secondes
Temps pour une étape : 0.0011276 secondes
Temps pour une étape : 0.00137444 secondes
Temps pour une étape : 0.00122294 secondes
Temps pour une étape : 0.0011076 secondes
Temps pour une étape : 0.00087823 secondes
Temps pour une étape : 0.000829821 secondes
Temps pour une étape : 0.00125499 secondes
Temps pour une étape : 0.000908559 secondes
Temps pour une étape : 0.000760822 secondes
Temps pour une étape : 0.000691049 secondes
Temps pour une étape : 0.000642773 secondes
Temps pour une étape : 0.0007337 secondes
Temps pour une étape : 0.00073674 secondes
Temps pour une étape : 0.000621715 secondes
Temps pour une étape : 0.000622013 secondes
Temps pour une étape : 0.00055639 secondes
Temps pour une étape : 0.000487398 secondes
Temps pour une étape : 0.000477282 secondes
Temps pour une étape : 0.000542787 secondes
Temps pour une étape : 0.000481205 secondes
Temps pour une étape : 0.000502515 secondes
Temps pour une étape : 0.000453554 secondes
Temps pour une étape : 0.000369807 secondes
Temps pour une étape : 0.000366325 secondes
Temps pour une étape : 0.000403916 secondes
Temps pour une étape : 0.000377752 secondes
Temps pour une étape : 0.000339892 secondes
Temps pour une étape : 0.00031689 secondes
Temps pour une étape : 0.000585737 secondes
